Wavelenght	Refractive Index
315.5	3.022120878
315.6666667	3.021222287
315.8333333	3.020326206
316	3.0194334
316.1666667	3.018544638
316.3333333	3.017660687
316.5	3.016782317
316.6666667	3.015910297
316.8333333	3.015045399
317	3.014188395
317.1666667	3.013340056
317.3333333	3.012501156
317.5	3.01167247
317.6666667	3.010854772
317.8333333	3.010048838
318	3.009255443
318.1666667	3.008475366
318.3333333	3.007709384
318.5	3.006958274
318.6666667	3.006222816
318.8333333	3.005503789
319	3.004801972
319.1666667	3.004118147
319.3333333	3.003453092
319.5	3.002807591
319.6666667	3.002182423
319.8333333	3.00157837
320	3.000996213
320.1666667	3.000436736
320.3333333	2.999900719
320.5	2.999388945
320.6666667	2.998902195
320.8333333	2.998441251
321	2.998006895
321.1666667	2.997599908
321.3333333	2.997218497
321.5	2.996848005
321.6666667	2.996485812
321.8333333	2.996131705
322	2.99578569
322.1666667	2.99544779
322.3333333	2.995117778
322.5	2.994795428
322.6666667	2.994480515
322.8333333	2.994172812
323	2.993872093
323.1666667	2.993578134
323.3333333	2.993290708
323.5	2.993009589
323.6666667	2.992734553
323.8333333	2.992465373
324	2.992201823
324.1666667	2.991943677
324.3333333	2.991690709
324.5	2.991442694
324.6666667	2.991199404
324.8333333	2.990960612
325	2.990726093
325.1666667	2.99049562
325.3333333	2.990268964
325.5	2.990045899
325.6666667	2.989826198
325.8333333	2.989609631
326	2.989395972
326.1666667	2.989184991
326.3333333	2.988976459
326.5	2.988770149
326.6666667	2.98856583
326.8333333	2.988363273
327	2.988162248
327.1666667	2.987962524
327.3333333	2.987763872
327.5	2.98756606
327.6666667	2.987368856
327.8333333	2.987172031
328	2.98697535
328.1666667	2.986778583
328.3333333	2.986581497
328.5	2.986383858
328.6666667	2.986185434
328.8333333	2.985985991
329	2.985785295
329.1666667	2.985583113
329.3333333	2.985379209
329.5	2.985173349
329.6666667	2.984965298
329.8333333	2.98475482
330	2.98454168
330.1666667	2.984325643
330.3333333	2.984106471
330.5	2.983883929
330.6666667	2.98365778
330.8333333	2.983427787
331	2.983193739
331.1666667	2.982955613
331.3333333	2.982713238
331.5	2.982466398
331.6666667	2.982216246
331.8333333	2.981966996
332	2.98171889
332.1666667	2.981471849
332.3333333	2.981225791
332.5	2.980980635
332.6666667	2.980736299
332.8333333	2.980492703
333	2.980249765
333.1666667	2.980007405
333.3333333	2.979765541
333.5	2.979524091
333.6666667	2.979282976
333.8333333	2.979042113
334	2.978801422
334.1666667	2.978560821
334.3333333	2.978320229
334.5	2.978079565
334.6666667	2.977838747
334.8333333	2.977597694
335	2.977356326
335.1666667	2.97711456
335.3333333	2.976872315
335.5	2.976629511
335.6666667	2.976386065
335.8333333	2.976141897
336	2.975896925
336.1666667	2.975651067
336.3333333	2.975404243
336.5	2.975156371
336.6666667	2.974907369
336.8333333	2.974657157
337	2.974405652
337.1666667	2.974152774
337.3333333	2.97389844
337.5	2.97364257
337.6666667	2.973385082
337.8333333	2.973125894
338	2.972864925
338.1666667	2.972602093
338.3333333	2.972337317
338.5	2.972070515
338.6666667	2.971801605
338.8333333	2.971530507
339	2.971257138
339.1666667	2.970981416
339.3333333	2.970703261
339.5	2.97042259
339.6666667	2.970139321
339.8333333	2.969853374
340	2.969564665
340.1666667	2.969273114
340.3333333	2.968978639
340.5	2.968681157
340.6666667	2.968380587
340.8333333	2.968076847
341	2.967769855
341.1666667	2.967459529
341.3333333	2.967145986
341.5	2.966829721
341.6666667	2.966510774
341.8333333	2.966189153
342	2.965864867
342.1666667	2.965537927
342.3333333	2.965208342
342.5	2.964876121
342.6666667	2.964541274
342.8333333	2.96420381
343	2.963863739
343.1666667	2.96352107
343.3333333	2.963175813
343.5	2.962827978
343.6666667	2.962477573
343.8333333	2.962124608
344	2.961769093
344.1666667	2.961411038
344.3333333	2.961050451
344.5	2.960687342
344.6666667	2.960321721
344.8333333	2.959953597
345	2.95958298
345.1666667	2.959209879
345.3333333	2.958834303
345.5	2.958456262
345.6666667	2.958075766
345.8333333	2.957692824
346	2.957307445
346.1666667	2.956919639
346.3333333	2.956529416
346.5	2.956136784
346.6666667	2.955741753
346.8333333	2.955344333
347	2.954944534
347.1666667	2.954542364
347.3333333	2.954137833
347.5	2.95373095
347.6666667	2.953321726
347.8333333	2.952910169
348	2.952496288
348.1666667	2.952080095
348.3333333	2.951661597
348.5	2.951240804
348.6666667	2.950817726
348.8333333	2.950392372
349	2.949964752
349.1666667	2.949534875
349.3333333	2.949102751
349.5	2.948668388
349.6666667	2.948231797
349.8333333	2.947792987
350	2.947351967
	
	
	
	
	
