Wavelength(nm)	R_simulated	R_experimental
3.750000e+02	0.543113	0.169070
3.752500e+02	0.543178	0.169580
3.755000e+02	0.543196	0.169780
3.757500e+02	0.543158	0.170010
3.760000e+02	0.543078	0.170500
3.762500e+02	0.542960	0.171170
3.765000e+02	0.542793	0.171840
3.767500e+02	0.542584	0.172330
3.770000e+02	0.542341	0.172380
3.772500e+02	0.542060	0.172630
3.775000e+02	0.541739	0.172960
3.777500e+02	0.541385	0.173170
3.780000e+02	0.541003	0.173390
3.782500e+02	0.540585	0.173600
3.785000e+02	0.540137	0.173910
3.787500e+02	0.539664	0.174270
3.790000e+02	0.539163	0.174600
3.792500e+02	0.538634	0.174570
3.795000e+02	0.538082	0.174180
3.797500e+02	0.537510	0.173850
3.800000e+02	0.536913	0.174160
3.802500e+02	0.536296	0.174890
3.805000e+02	0.535661	0.175510
3.807500e+02	0.535006	0.175600
3.810000e+02	0.534333	0.175730
3.812500e+02	0.533644	0.175780
3.815000e+02	0.532940	0.176170
3.817500e+02	0.532220	0.176530
3.820000e+02	0.531485	0.176720
3.822500e+02	0.530738	0.176990
3.825000e+02	0.529977	0.177320
3.827500e+02	0.529203	0.177410
3.830000e+02	0.528416	0.177260
3.832500e+02	0.527619	0.177280
3.835000e+02	0.526810	0.177630
3.837500e+02	0.525989	0.178100
3.840000e+02	0.525158	0.178200
3.842500e+02	0.524316	0.178100
3.845000e+02	0.523463	0.177850
3.847500e+02	0.522600	0.177820
3.850000e+02	0.521727	0.177770
3.852500e+02	0.520845	0.177950
3.855000e+02	0.519952	0.178100
3.857500e+02	0.519048	0.178360
3.860000e+02	0.518134	0.178960
3.862500e+02	0.517209	0.179410
3.865000e+02	0.516273	0.179480
3.867500e+02	0.515327	0.179150
3.870000e+02	0.514371	0.178930
3.872500e+02	0.513404	0.178840
3.875000e+02	0.512426	0.178780
3.877500e+02	0.511438	0.178840
3.880000e+02	0.510438	0.179000
3.882500e+02	0.509428	0.178970
3.885000e+02	0.508407	0.178610
3.887500e+02	0.507375	0.178190
3.890000e+02	0.506332	0.177860
3.892500e+02	0.505278	0.177920
3.895000e+02	0.504211	0.178250
3.897500e+02	0.503132	0.178690
3.900000e+02	0.502042	0.179360
3.902500e+02	0.500940	0.179840
3.905000e+02	0.499828	0.179550
3.907500e+02	0.498704	0.179100
3.910000e+02	0.497567	0.179000
3.912500e+02	0.496419	0.178760
3.915000e+02	0.495258	0.178390
3.917500e+02	0.494085	0.178420
3.920000e+02	0.492900	0.178640
3.922500e+02	0.491704	0.178600
